Username,URL,Followers,Following,Tweets,Raw_Score,FinalScore
WaffleStocks,https://x.com/WaffleStocks,80,80,130,90,100
ModernlyWhole,https://x.com/ModernlyWhole,472,808,4749,90,100
rescorsim,https://x.com/rescorsim,1112,523,3091,90,100
BoozyTrades,https://x.com/BoozyTrades,2143,3332,9911,90,100
cindycalland,https://x.com/cindycalland,400,739,1283,90,100
porshdoteth,https://x.com/porshdoteth,650,56,3849,90,100
oldschoolxrp,https://x.com/oldschoolxrp,290,202,1014,90,100
rooostyfitall,https://x.com/rooostyfitall,319,951,1862,90,100
WoodenMugKing,https://x.com/WoodenMugKing,260,219,2638,90,100
shiftcmdd,https://x.com/shiftcmdd,114,307,147,90,100
JackChid,https://x.com/JackChid,141,230,742,90,100
kcohutta72,https://x.com/kcohutta72,118,134,94,90,100
D1llyCrypto,https://x.com/D1llyCrypto,148,361,579,90,100
tweet_bass,https://x.com/tweet_bass,142,128,55,90,100
Matt_Black,https://x.com/Matt_Black,632,676,4186,90,100
js2899_g,https://x.com/js2899_g,34,99,139,90,100
Battleaxe15339,https://x.com/Battleaxe15339,27,48,510,90,100
mars99312,https://x.com/mars99312,320,225,91,90,100
wildlion122,https://x.com/wildlion122,79,113,191,90,100
s3aba22,https://x.com/s3aba22,70,133,59,90,100
upwinding,https://x.com/upwinding,1122,2563,8886,90,100
Marty_J_Moon,https://x.com/Marty_J_Moon,479,619,777,90,100
yizbtc,https://x.com/yizbtc,933,2015,1903,90,100
Lemay221,https://x.com/Lemay221,1337,957,1967,90,100
BishopTattoo,https://x.com/BishopTattoo,763,1019,5872,90,100
derfman62,https://x.com/derfman62,153,430,2246,90,100
serum357,https://x.com/serum357,155,358,99,90,100
WealthyOrDie,https://x.com/WealthyOrDie,369,51,12205,90,100
AlltheSmoke25,https://x.com/AlltheSmoke25,333,184,6493,90,100
James8451628933,https://x.com/James8451628933,249,195,169,90,100
LAlfanje85137,https://x.com/LAlfanje85137,329,116,51,90,100
aceddeca1,https://x.com/aceddeca1,1888,4264,16564,90,100
Akumura7349,https://x.com/Akumura7349,430,456,449,90,100
